20 0 0 0 0 0 0 0 0 0 0
20 0 0 0 0 0 0 0 0 0 0
30 0 0 0 0 10 0 0 0 0 0
30 0 0 0 0 10 0 0 0 0 0
40 0 0 0 10 10 0 0 0 0 0
40 0 0 0 10 10 0 0 0 0 0
40 0 0 0 10 10 0 0 0 0 0
50 0 10 0 10 10 0 0 0 0 0
60 0 10 0 20 10 0 0 0 0 0
60 0 10 0 20 10 0 0 0 0 0
70 0 10 10 20 10 0 0 0 0 0
80 0 20 10 20 10 0 0 0 0 0
90 10 20 10 20 10 0 0 0 0 0
100 10 20 10 20 20 0 0 0 0 0
110 10 30 10 20 20 0 0 0 0 0
120 20 30 10 20 20 0 0 0 0 0
130 20 30 10 20 20 0 0 0 0 10
140 30 30 10 20 20 0 0 0 0 10
150 30 30 10 30 20 0 0 0 0 10
160 30 30 10 30 20 0 10 0 0 10
160 30 30 10 30 20 0 10 0 0 10
170 30 30 20 30 20 0 10 0 0 10
180 30 30 30 30 20 0 10 0 0 10
190 30 30 30 30 20 0 10 10 0 10
200 30 30 30 30 20 0 20 10 0 10
200 30 30 30 30 20 0 20 10 0 10
210 30 30 30 30 20 0 20 20 0 10
210 30 30 30 30 20 0 20 20 0 10
220 30 30 30 30 20 0 30 20 0 10
230 30 30 30 30 30 0 30 20 0 10
240 30 30 30 30 30 0 30 20 0 20
240 30 30 30 30 30 0 30 20 0 20
250 30 30 30 30 30 10 30 20 0 20
260 30 30 30 30 30 10 30 20 10 20
260 30 30 30 30 30 10 30 20 10 20
260 30 30 30 30 30 10 30 20 10 20
270 30 30 30 30 30 10 30 20 10 30
270 30 30 30 30 30 10 30 20 10 30
280 30 30 30 30 30 10 30 20 20 30
290 30 30 30 30 30 20 30 20 20 30
300 30 30 30 30 30 30 30 20 20 30
300 30 30 30 30 30 30 30 20 20 30
310 30 30 30 30 30 30 30 20 30 30
320 30 30 30 30 30 30 30 30 30 30
320 30 30 30 30 30 30 30 30 30 30
320 30 30 30 30 30 30 30 30 30 30
